"","ID","description","temp","sunset","sunrise","epochTime","code","city","date"
"1","c61212ee-a9f6-11e8-9c87-f25a815166f6","Breezy",6,"8:33 pm","6:42 am",1535373798.49,"23","Calgary",2018-08-27 06:43:18
"2","88bf130c-c417-11e8-805f-025dd6774da2","Showers",3,"7:6 pm","7:19 am",1538246599.23,"11","Medicine Hat",2018-09-29 12:43:19
"3","73e70e80-b44f-11e8-bb60-f6c0f0ab83f2","Mostly Cloudy",10,"8:4 pm","7:2 am",1536511397.47,"28","Calgary",2018-09-09 10:43:17
"4","e56495da-c36f-11e8-8f8b-924eb8b2cf9b","Cloudy",5,"7:18 pm","7:30 am",1538174599.22,"26","Edmonton",2018-09-28 16:43:19
"5","ca426fd2-af5d-11e8-9ec8-9a37062c45a2","Partly Cloudy",13,"8:3 pm","6:40 am",1535967799.5,"29","Medicine Hat",2018-09-03 03:43:19
"6","2c853930-aaaf-11e8-b83a-def8d18b9584","Partly Cloudy",5,"8:31 pm","6:43 am",1535452997.77,"29","Calgary",2018-08-28 04:43:17
"7","8f283f62-aab7-11e8-b83a-def8d18b9584","Mostly Cloudy",8,"8:34 pm","6:36 am",1535456599.23,"27","Edmonton",2018-08-28 05:43:19
"8","c5038dfa-b6fe-11e8-855d-76084866ebfd","Cloudy",6,"7:58 pm","7:7 am",1536806597.81,"26","Calgary",2018-09-12 20:43:17
"9","bb44064e-b3d1-11e8-a631-1e41d851fb68","Mostly Sunny",16,"8:7 pm","6:58 am",1536457400.61,"34","Red Deer",2018-09-08 19:43:20
"10","0aa19312-ac63-11e8-b975-3a21f02c5ba9","Mostly Sunny",9,"8:28 pm","6:43 am",1535640201.49,"34","Red Deer",2018-08-30 08:43:21
"11","4b0f0fba-ba0a-11e8-a4fb-4e41101ef2ab","Cloudy",3,"7:48 pm","7:11 am",1537141400.65,"26","Red Deer",2018-09-16 17:43:20
"12","2867bf64-c7a9-11e8-91cb-bed55c82e76a","Cloudy",-5,"7:8 pm","7:41 am",1538638997.61,"26","Calgary",2018-10-04 01:43:17
"13","15908480-aad9-11e8-b83a-def8d18b9584","Mostly Sunny",12,"8:24 pm","6:41 am",1535470998.12,"34","Lethbridge",2018-08-28 09:43:18
"14","28dbeb6a-baa1-11e8-ab8d-3e234d920b2e","Cloudy",3,"7:46 pm","7:14 am",1537206197.28,"26","Calgary",2018-09-17 11:43:17
"15","4ed43fa2-baba-11e8-ab8d-3e234d920b2e","Mostly Cloudy",8,"7:46 pm","7:14 am",1537216998.4,"28","Calgary",2018-09-17 14:43:18
"16","445e0166-b2d6-11e8-8ab9-4e5fe7d72624","Sunny",25,"8:9 pm","6:59 am",1536349397.46,"32","Calgary",2018-09-07 13:43:17
"17","258da65c-c40f-11e8-805f-025dd6774da2","Partly Cloudy",2,"7:19 pm","7:33 am",1538242996.84,"30","Calgary",2018-09-29 11:43:16
"18","b19867fe-bc8f-11e8-9c91-8a8178082c2e","Cloudy",3,"7:42 pm","7:17 am",1537418598.07,"26","Calgary",2018-09-19 22:43:18
"19","555cda72-b02f-11e8-92d7-a6aa23150927","Cloudy",6,"8:16 pm","6:54 am",1536057797.69,"26","Calgary",2018-09-04 04:43:17
"20","bbf2d816-b76b-11e8-8ca0-ceda79ebd692","Cloudy",0,"7:55 pm","7:8 am",1536853397.74,"26","Calgary",2018-09-13 09:43:17
"21","2479805a-c6f9-11e8-a383-a2e49549f8c2","Cloudy",-2,"7:6 pm","7:34 am",1538563399.59,"26","Lethbridge",2018-10-03 04:43:19
"22","9cd640d4-b802-11e8-b969-f6d90b7b43e5","Partly Cloudy",4,"7:39 pm","6:57 am",1536918199.55,"29","Medicine Hat",2018-09-14 03:43:19
"23","570ac1ea-c588-11e8-a771-02e425426ed6","Cloudy",0,"7:1 pm","7:23 am",1538405000.13,"26","Medicine Hat",2018-10-01 08:43:20
"24","7faa8ac6-b0f8-11e8-b421-f62e67cd8967","Clear",3,"8:13 pm","6:56 am",1536144197.51,"31","Calgary",2018-09-05 04:43:17
"25","0cd26a0a-b1ca-11e8-9868-52f41986eb6e","Cloudy",7,"8:12 pm","6:52 am",1536234199.14,"26","Edmonton",2018-09-06 05:43:19
"26","17d1e914-b4f7-11e8-8577-7ac58b32d6a8","Mostly Clear",8,"7:56 pm","7:0 am",1536583398.44,"33","Lethbridge",2018-09-10 06:43:18
