Hospital,Lat,Long
alberta children's hospital,51.074382,-114.1501503
Foothills Medical Centre,51.0644944,-114.1362497
Peter Lougheed Centre,51.0789865,-113.9861338
Rockyview General Hospital,50.9903133,-114.099605
South Health Campus,50.8819571,-113.9540816
Fort Saskatchewan Community Hospital,53.6918982,-113.2130107
Grey Nuns Community Hospital,53.4619022,-113.4318527
Leduc Community Hospital,53.2548214,-113.5476278
Misericordia Community Hospital,53.5208772,-113.6140662
Northeast Community Health Centre,53.6040754,-113.4195719
Royal Alexandra Hospital,53.5568568,-113.4989251
Stollery Children's Hospital,53.5195902,-113.5247927
Strathcona Community Hospital,53.5681811,-113.2789315
Sturgeon Community Hospital,53.6552432,-113.6278997
University of Alberta Hospital,53.5203117,-113.5252906
WestView Health Centre,53.5374622,-113.9788965
Chinook Regional Hospital,49.684819,-112.8182321
Medicine Hat Regional Hospital,50.0348745,-110.7051027
Red Deer Regional Hospital Centre,52.2612285,-113.820253
,53.6918982,-114.1501503
